STATION,STATION_NAME,DATE,HPCP
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110601 01:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110601 17:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110601 18:00,0.11
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110601 19:00,0.05
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110605 06:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110609 21:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110609 22:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110610 00:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110610 01:00,0.04
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110610 02:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110610 20:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110611 17:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110612 17:00,0.07
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110612 18:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110614 17:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110616 07:00,0.01
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110616 08:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110616 16:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110616 17:00,0.03
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110616 18:00,0.01
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110616 19:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110616 22:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110616 23:00,0.43
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110617 00:00,0.35
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110617 16:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110617 18:00,0.01
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110617 19:00,0.19
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110617 20:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110618 23:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110619 00:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110619 01:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110619 08:00,0.01
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110619 09:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110619 13:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110619 14:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110620 01:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110620 02:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110620 03:00,0.03
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110620 04:00,0.09
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110620 05:00,0.08
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110620 06:00,0.02
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110620 07:00,0.10
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110620 08:00,0.02
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110620 11:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110621 01:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110621 02:00,0.01
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110621 05:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110621 22:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110622 05:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110623 12:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110623 13:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110623 14:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110627 00:00,0.01
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110627 01:00,0.01
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110627 02:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110627 03:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110627 06:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110627 07:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110628 22:00,0.00
